VARIANT_ID,PRODUCT_LINK,PRODUCT_IMAGE_LINK,MODEL_IMAGE_LINK,PRODUCT_DESC_SE,PRODUCT_DESC_EN
30076717610,lindex.com/p/3007671-7610/,https://i8.amplience.net/i/Lindex/3007671_7610_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3007671_7610_PS_MF/?h=300,Kortärmad topp i trikå med bubbelstruktur och rund halsringning.,Short-sleeved top in jersey with bubble texture and round neckline.
30041710080,lindex.com/p/3004171-80/,https://i8.amplience.net/i/Lindex/3004171_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004171_80_PS_MF/?h=300,Finstickad cardigan med lång silhuett och öppen design framtill.,Fine-knit cardigan with long silhouette and open front design.
30021477292,lindex.com/p/3002147-7292/,https://i8.amplience.net/i/Lindex/3002147_7292_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3002147_7292_PS_MF/?h=300,Mjuk och skön stickad cardigan med öppen front och långa ärmar.,Soft and cosy knitted cardigan with open front and long sleeves.
30027116902,lindex.com/p/3002711-6902/,https://i8.amplience.net/i/Lindex/3002711_6902_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3002711_6902_PS_MF/?h=300,Byxor i manchester med bred passform och normalhög midja.,Trousers in corduroy with wide fit and regular waist.
30020869577,lindex.com/p/3002086-9577/,https://i8.amplience.net/i/Lindex/3002086_9577_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3002086_9577_PS_MF/?h=300,"Stickad ärmlös midiklänning med hög halsringning, randigt mönster och utsvängd kjol.","Knitted midi sleeveless dress with a high neckline, stripe pattern and flared skirt."
30016860080,lindex.com/p/3001686-80/,https://i8.amplience.net/i/Lindex/3001686_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001686_80_PS_MF/?h=300,Bastopp i mjuk och stretchig bomull med långa ärmar och rund halsringning.,Basic top in soft and stretchy cotton with long sleeves and round neckline.
30004740300,lindex.com/p/3000474-300/,https://i8.amplience.net/i/Lindex/3000474_300_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3000474_300_PS_MF/?h=300,Kortärmad topp med en figurnära siluett.,Short sleeve top with a figure-fit silhouette.
30038626665,lindex.com/p/3003862-6665/,https://i8.amplience.net/i/Lindex/3003862_6665_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3003862_6665_PS_MF/?h=300,T-shirt i mjuk bomullstrikå med avslappnad passform och tryck på framsidan.,T-shirt in soft cotton jersey with relaxed fit and print on the front.
30021030250,lindex.com/p/3002103-250/,https://i8.amplience.net/i/Lindex/3002103_250_PS_F/?h=300,,Stilsäker hårklämma med matt finish.,Stylish hair grip with a matte finish.
30043610010,lindex.com/p/3004361-10/,https://i8.amplience.net/i/Lindex/3004361_10_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004361_10_PS_MF/?h=300,Stilsäker kjol med rak passform och heltäckande paljetter.,Stylish skirt with straight fit and sequins all over.
30000835963,lindex.com/p/3000083-5963/,https://i8.amplience.net/i/Lindex/3000083_5963_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3000083_5963_PS_MF/?h=300,"Finstickad, stilsäker tröja med långa ärmar.","Fine-knit, stylish jumper with long sleeves."
30032760300,lindex.com/p/3003276-300/,https://i8.amplience.net/i/Lindex/3003276_300_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3003276_300_PS_MF/?h=300,"Oversize bomullsskjorta med textur, klassisk krage och knappstängning.","Oversize cotton shirt with textured fabric, classic collar and button closure."
30054450080,lindex.com/p/3005445-80/,https://i8.amplience.net/i/Lindex/3005445_80_PS_F/?h=300,,Praktisk och stilsäker telefonväska med justerbar rem.,Practical and stylish phone bag with an adjustable strap.
30052924939,lindex.com/p/3005292-4939/,https://i8.amplience.net/i/Lindex/3005292_4939_PS_F/?h=300,,Mjuk scarf med heltäckande blommönster och små fransar.,Soft scarf with allover flower pattern and small fringes.
62370150080,lindex.com/p/6237015-80/,https://i8.amplience.net/i/Lindex/6237015_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/6237015_80_PS_MF/?h=300,"Damtröja i bomullsblandning med normal passform, lång ärm och rund halsringning. Bekväm trikåkvalitet för vardagsbruk.",Women's regular-fit cotton blend top with long sleeves and a round neckline. Comfortable tricot quality for everyday wear.
83588879873,lindex.com/p/8358887-9873/,https://i8.amplience.net/i/Lindex/8358887_9873_PS_F/?h=300,,Set med tre flätade hårsnoddar i olika färger.,A set of three braided hair elastics in different colours.
30036732643,lindex.com/p/3003673-2643/,https://i8.amplience.net/i/Lindex/3003673_2643_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3003673_2643_PS_MF/?h=300,"Bekväm hoodie med mjuk borstad insida och boxig, avslappnad passform.","Comfy hoodie with soft brushed inside and boxy, relaxed fit."
30013340211,lindex.com/p/3001334-211/,https://i8.amplience.net/i/Lindex/3001334_211_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001334_211_PS_MF/?h=300,"Snygg lång, lätt figursydd kappa i ullblandning. Kappan har en slits baktill och en klassisk krage med dubbelknäppning.","Stylish long, slightly fitted coat made in wool blend. The coat comes with a slit at the back and a classic collar and double-button closure."
30026609942,lindex.com/p/3002660-9942/,https://i8.amplience.net/i/Lindex/3002660_9942_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3002660_9942_PS_MF/?h=300,"Mysig kabelstickad klänning med rund halsringning, långa ärmar och guldfärgade knappar.","Cosy cable-knit dress with a round neckline, long sleeves and gold-coloured buttons."
30000570080,lindex.com/p/3000057-80/,https://i8.amplience.net/i/Lindex/3000057_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3000057_80_PS_MF/?h=300,"Preppy, stretchiga byxor med en rak passform och en normalhög midja. Byxorna har knappar i guld.","Preppy, stretchy trousers with a straight fit and a regular waist. The trousers have buttons in gold."
30052577488,lindex.com/p/3005257-7488/,https://i8.amplience.net/i/Lindex/3005257_7488_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3005257_7488_PS_MF/?h=300,Mjuk mönsterstickad tröja med guldfärgade knappar.,Soft pattern-knitted jumper with gold coloured buttons.
30045416745,lindex.com/p/3004541-6745/,https://i8.amplience.net/i/Lindex/3004541_6745_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004541_6745_PS_MF/?h=300,Oversized cargojacka i twill med stora fickor och knytband i midjan.,Oversized cargo jacket in twill with large pockets and tie belt to waist.
86489020080,lindex.com/p/8648902-80/,https://i8.amplience.net/i/Lindex/8648902_80_PS_F/?h=300,,Lätt vadderad crossbody-väska med justerbar axelrem och dragkedja i metall. Väskan har ett stort fack med två mindre fickor inuti.,Lightly padded cross body bag with an adjustable shoulder strap and a metal zipper. The bag has one big compartment with two smaller pockets inside.
30012000080,lindex.com/p/3001200-80/,https://i8.amplience.net/i/Lindex/3001200_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001200_80_PS_MF/?h=300,"Bekväma byxor med vid, böljande passform och hög resårmidja.","Comfortable trousers with wide, flowy fit and high elastic waist."
30064026983,lindex.com/p/3006402-6983/,https://i8.amplience.net/i/Lindex/3006402_6983_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006402_6983_PS_MF/?h=300,Ärmlös ribbad topp med båtringning och volangkant.,Sleeveless ribbed top with boat neck and frill trims.
62370150070,lindex.com/p/6237015-70/,https://i8.amplience.net/i/Lindex/6237015_70_PS_F/?h=300,https://i8.amplience.net/i/Lindex/6237015_70_PS_MF/?h=300,"Damtröja i bomullsblandning med normal passform, lång ärm och rund halsringning. Bekväm trikåkvalitet för vardagsbruk.",Women's regular-fit cotton blend top with long sleeves and a round neckline. Comfortable tricot quality for everyday wear.
